City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Esmeraldas,-19.76,-44.31,15.0,93,55,3.1,BR,1596346686
Port Augusta,-32.5,137.77,21.11,34,46,4.6,AU,1596346868
Kiryat Gat,31.61,34.76,26.11,58,0,1.34,IL,1596346868
Banjar,-8.19,114.97,28.0,69,40,5.7,ID,1596346869
Kavieng,-2.57,150.8,28.61,75,28,3.7,PG,1596346869
Berlevåg,70.86,29.09,9.44,84,100,3.45,NO,1596346869
Nieuw Amsterdam,5.88,-55.08,24.44,95,100,0.89,SR,1596346869
Manyana,-23.4,21.72,10.19,45,0,3.57,BW,1596346870
Marsabit,2.33,37.99,17.68,64,20,10.93,KE,1596346870
Morehead,37.27,-87.18,19.0,100,90,3.06,US,1596346870
Vestmanna,62.16,-7.17,10.0,100,54,5.1,FO,1596346870
Keetmanshoop,-26.58,18.13,13.0,22,0,5.1,NA,1596346871
Karratha,-20.74,116.85,28.84,16,0,4.56,AU,1596346871
Kremenchuk,49.1,33.42,17.09,69,10,4.63,UA,1596346871
Makat,47.65,53.35,33.68,15,21,4.47,KZ,1596346871
Forsytheganj,52.63,29.73,13.3,87,49,3.32,BY,1596346872
Trelew,-43.25,-65.31,9.78,50,2,7.16,AR,1596346597
Rapid Valley,44.06,-103.15,19.44,67,1,2.1,US,1596346872
Saint Anthony,45.02,-93.22,21.11,68,90,3.6,US,1596346872
Florø,61.6,5.03,15.0,93,100,2.33,NO,1596346873
Great Yarmouth,52.61,1.73,16.11,95,67,5.45,GB,1596346873
Broken Hill,-31.95,141.43,21.0,19,46,2.6,AU,1596346873
Reconquista,-29.15,-59.65,19.46,71,0,4.85,AR,1596346873
San Quintín,30.48,-115.95,22.52,76,1,0.81,MX,1596346874
Volga,57.95,38.39,15.4,68,7,3.72,RU,1596346874
Clyde River,70.47,-68.59,2.0,100,90,1.0,CA,1596346874
Martapura,-3.42,114.85,32.0,59,40,4.1,ID,1596346875
Margate,51.38,1.39,17.22,72,27,1.34,GB,1596346875
Smirnykh,49.75,142.83,19.48,92,99,1.16,RU,1596346875
Ondjiva,-17.07,15.73,11.86,41,0,3.27,AO,1596346876
Auki,-8.77,160.7,27.67,78,42,0.26,SB,1596346876
Lüderitz,-26.65,15.16,21.0,19,0,4.6,NA,1596346876
Penzance,50.12,-5.54,14.44,87,0,3.6,GB,1596346876
Arica,-18.48,-70.3,11.66,86,54,0.62,CL,1596346877
Half Moon Bay,37.46,-122.43,16.11,93,90,4.1,US,1596346877
Mount Gambier,-37.83,140.77,14.0,62,75,4.6,AU,1596346877
Inuvik,68.35,-133.72,12.0,87,75,4.6,CA,1596346877
Lazurne,46.08,32.53,20.56,68,0,4.0,UA,1596346878
Ürümqi,43.8,87.6,31.0,19,6,2.0,CN,1596346878
Mandalgovi,45.76,106.27,18.78,51,62,11.67,MN,1596346878
Saint George,37.1,-113.58,36.0,11,1,2.1,US,1596346759
Nanning,22.82,108.32,28.0,78,75,8.0,CN,1596346879
Pemba,-12.97,40.52,22.0,83,75,4.6,MZ,1596346879
Sémbé,1.65,14.58,22.14,86,99,2.38,CG,1596346879
Buta,2.79,24.73,22.48,97,100,0.66,CD,1596346880
Boissevain,49.23,-100.06,15.0,100,1,2.6,CA,1596346880
Nacogdoches,31.6,-94.63,22.78,94,1,1.16,US,1596346649
La Ronge,55.1,-105.28,16.0,82,5,2.69,CA,1596346881
Lewistown,40.6,-77.57,22.78,100,90,1.5,US,1596346881
Makakilo City,21.35,-158.09,27.0,57,1,2.6,US,1596346881
Arroyo de la Encomienda,41.61,-4.8,16.67,93,22,5.1,ES,1596346881
Forbes,-33.38,148.02,16.67,47,100,1.06,AU,1596346882
Araceli,10.55,119.99,29.24,72,100,3.56,PH,1596346882
Buin,-33.73,-70.75,7.78,93,89,1.0,CL,1596346882
Charter Township of Clinton,42.59,-82.92,21.11,100,90,3.6,US,1596346883
Aberystwyth,52.42,-4.08,12.22,97,44,1.79,GB,1596346883
Atasū,48.68,71.64,27.93,26,64,6.88,KZ,1596346883
Krasnyy Chikoy,50.36,108.75,15.08,91,100,1.39,RU,1596346883
Saint-Augustin,51.23,-58.65,10.39,95,24,0.49,CA,1596346884
Sechura,-5.56,-80.82,16.62,84,0,4.8,PE,1596346884
Awjilah,29.11,21.29,27.12,60,0,4.54,LY,1596346884
Laguna,38.42,-121.42,25.0,46,1,3.1,US,1596346760
Bolshaya Dzhalga,45.97,42.7,24.61,45,0,0.95,RU,1596346885
Merauke,-8.47,140.33,26.88,66,48,7.08,ID,1596346885
Boa Vista,2.82,-60.67,24.0,88,40,2.1,BR,1596346787
Maceió,-9.67,-35.74,21.0,100,75,2.6,BR,1596346886
Nakhon Phanom,17.41,104.78,25.0,100,75,2.1,TH,1596346886
Bima,-8.47,118.72,30.88,48,15,0.75,ID,1596346886
Forestville,38.85,-76.88,27.0,94,1,2.6,US,1596346886
Águilas,37.41,-1.58,30.0,18,0,5.36,ES,1596346887
Vaitape,-16.52,-151.75,26.09,81,17,5.75,PF,1596346887
Pirapora,-17.34,-44.94,14.3,85,28,1.21,BR,1596346887
Ust-Tsilma,65.44,52.15,17.65,53,3,2.57,RU,1596346887
Saint-Marc,19.11,-72.69,27.16,78,100,1.79,HT,1596346888
Hanmer Springs,-42.52,172.82,8.82,71,100,2.26,NZ,1596346888
Esim,4.87,-2.24,22.66,85,6,2.77,GH,1596346888
Hasaki,35.73,140.83,32.22,69,40,5.1,JP,1596346888
Pitimbu,-7.47,-34.81,22.0,100,75,3.1,BR,1596346889
Skjervøy,70.03,20.97,13.07,77,0,4.15,NO,1596346889
Lavaca,28.61,-96.63,26.11,94,1,2.53,US,1596346890
Senanga,-16.12,23.27,10.76,45,0,3.21,ZM,1596346890
Port Hedland,-20.32,118.57,31.0,18,0,4.6,AU,1596346890
Zapolyarnyy,69.42,30.81,8.0,93,75,3.6,RU,1596346890
Havelock,34.88,-76.9,28.33,94,1,4.1,US,1596346891
Xalpatlahuac,17.47,-98.62,17.02,87,71,1.05,MX,1596346891
Nekhayevskiy,50.41,41.76,19.04,65,0,2.94,RU,1596346891
São Raimundo das Mangabeiras,-7.02,-45.48,20.23,71,0,1.85,BR,1596346891
Miandrivazo,-19.52,45.47,24.46,39,0,3.92,MG,1596346892
Nkhotakota,-12.93,34.3,19.12,76,44,5.08,MW,1596346892
Bay Saint Louis,30.31,-89.33,28.0,74,1,3.24,US,1596346892
Alibag,18.64,72.88,31.0,79,40,5.1,IN,1596346893
Tarakan,3.3,117.63,27.93,72,59,3.46,ID,1596346847
Hamadan,34.8,48.51,24.0,25,0,2.1,IR,1596346893
Aden,12.78,45.04,31.87,63,0,7.33,YE,1596346823
Lunino,53.59,45.23,15.4,84,80,3.82,RU,1596346894
Muros,42.78,-9.06,17.22,83,39,2.68,ES,1596346894
Hamilton,39.18,-84.53,23.0,94,90,3.1,US,1596346422
Cockburn Town,21.46,-71.14,27.96,82,100,8.95,TC,1596346895
Wewak,-3.55,143.63,27.53,71,98,2.03,PG,1596346895
Gohāna,29.13,76.7,37.95,39,19,1.97,IN,1596346896
Gheorghe Doja,46.47,24.5,16.11,82,40,1.0,RO,1596346896
Novyye Burasy,52.13,46.07,18.33,79,16,1.34,RU,1596346896
Bengkulu,-3.8,102.27,28.57,68,98,3.94,ID,1596346897
Matamoros,25.53,-103.25,25.0,57,34,4.61,MX,1596346897
Sikonge,-5.63,32.77,18.83,48,4,4.3,TZ,1596346897
Vostok,46.49,135.88,28.64,50,21,3.09,RU,1596346898
Oberá,-27.49,-55.12,14.6,87,0,1.31,AR,1596346898
Jämsä,61.86,25.19,14.0,87,98,1.5,FI,1596346898
Maragogi,-9.01,-35.22,23.13,86,50,3.9,BR,1596346872
Ixtapa,20.7,-105.2,28.0,78,90,1.5,MX,1596346899
Bilibino,68.05,166.44,8.65,74,100,1.71,RU,1596346899
Itoigawa,37.03,137.85,32.22,71,86,0.62,JP,1596346899
Basirhat,22.67,88.87,35.0,75,40,1.3,IN,1596346899
Khorixas,-20.37,14.97,16.08,29,0,7.96,NA,1596346900
Longyan,25.11,117.02,31.83,53,84,2.47,CN,1596346900
Kampong Thom,12.71,104.89,27.27,87,100,6.07,KH,1596346901
Machhlīshahr,25.68,82.42,36.34,47,11,2.19,IN,1596346901
Los Andes,-32.83,-70.6,8.33,99,68,0.86,CL,1596346901
Oistins,13.07,-59.53,28.0,78,40,3.6,BB,1596346812
Buraidah,26.33,43.98,34.0,23,4,4.1,SA,1596346902
Bukama,-9.2,25.85,22.45,31,95,0.79,CD,1596346902
Knysna,-34.04,23.05,22.0,18,0,3.6,ZA,1596346902
Quelimane,-17.88,36.89,16.0,93,20,1.0,MZ,1596346903
Gazojak,41.19,61.4,33.86,19,0,3.13,TM,1596346903
Ankpa,7.37,7.63,21.17,90,100,3.78,NG,1596346903
Bangassou,4.74,22.82,22.35,95,100,0.52,CF,1596346904
Iracoubo,5.48,-53.2,25.19,86,100,3.37,GF,1596346904
Korhogo,9.45,-5.63,21.27,92,74,4.1,CI,1596346904
Dzilam González,21.28,-88.93,25.62,91,4,2.32,MX,1596346904
Lakes Entrance,-37.88,147.98,18.89,50,43,1.34,AU,1596346905
Kaeo,-35.1,173.78,13.33,3,100,4.92,NZ,1596346905
Gunnedah,-30.98,150.25,19.0,37,10,1.0,AU,1596346906
Avera,33.19,-82.53,25.56,83,1,2.1,US,1596346906
Poconé,-16.26,-56.62,21.12,45,29,2.36,BR,1596346906
Guangyuan,32.44,105.82,31.11,66,45,2.31,CN,1596346810
Sonegaon,20.65,78.68,31.0,74,75,1.94,IN,1596346907
Peremyshlyany,49.67,24.56,15.0,87,0,1.41,UA,1596346907
Pacific Grove,36.62,-121.92,13.89,98,0,2.3,US,1596346907
Leningradskiy,69.38,178.42,4.6,79,94,2.73,RU,1596346908
Missoula,47.02,-113.8,26.0,41,1,1.8,US,1596346908
Chhātāpur,26.22,87.02,35.3,51,70,1.42,IN,1596346908
Wonopringgo,-6.98,109.62,31.79,52,5,2.79,ID,1596346909
Nemuro,43.32,145.57,24.0,78,75,5.7,JP,1596346909
Wajima,37.4,136.9,29.0,70,75,2.6,JP,1596346909
Port-Cartier,50.03,-66.87,14.0,93,5,1.5,CA,1596346910
São Filipe,14.9,-24.5,25.35,83,0,0.5,CV,1596346910
Baillif,16.02,-61.75,25.0,94,58,2.73,GP,1596346910
Santa Rosa,14.31,121.11,30.0,76,100,0.89,PH,1596346910
Zeya,53.75,127.27,23.65,56,98,1.66,RU,1596346911
Bathsheba,13.22,-59.52,28.0,78,40,3.6,BB,1596346911
Vila Franca do Campo,37.72,-25.43,20.0,72,75,1.5,PT,1596346911
Aklavik,68.22,-135.01,12.0,87,75,4.6,CA,1596346911
Lumby,50.25,-118.97,25.0,53,90,1.5,CA,1596346912
Phuket,8.0,98.25,30.0,94,75,4.6,TH,1596346873
Dwārka,22.24,68.97,31.17,69,72,2.67,IN,1596346912
Urengoy,65.97,78.37,17.21,85,100,3.74,RU,1596346913
Tezu,27.92,96.17,34.45,50,28,1.4,IN,1596346913
Muyezerskiy,63.93,31.65,14.59,68,89,1.0,RU,1596346913
Skeldon,5.88,-57.13,23.58,94,99,2.17,GY,1596346914
Patan,27.67,85.33,27.0,74,75,1.5,NP,1596346914
Ambilobe,-13.2,49.05,28.6,38,0,4.85,MG,1596346914
Naze,28.37,129.48,32.0,70,75,3.6,JP,1596346914
Sambava,-14.27,50.17,23.69,72,66,7.92,MG,1596346915
Copiapó,-27.37,-70.33,11.0,87,0,0.5,CL,1596346915
Qaqortoq,60.72,-46.03,8.0,75,94,2.1,GL,1596346915
Kamenka,51.32,42.77,17.36,75,19,2.38,RU,1596346915
Rabaul,-4.2,152.17,29.31,74,97,6.7,PG,1596346916
Aasiaat,68.71,-52.87,3.54,96,95,1.94,GL,1596346916
Sobolevo,54.43,31.9,13.91,85,76,3.9,RU,1596346916
Baharly,38.44,57.43,33.66,17,0,5.52,TM,1596346916
Riyadh,24.69,46.72,38.0,24,37,1.5,SA,1596346684
Ternate,0.8,127.4,27.81,77,71,2.81,ID,1596346917
Santiago,-33.46,-70.65,7.78,93,80,1.0,CL,1596346053
Urubichá,-15.38,-62.95,19.59,57,1,0.12,BO,1596346917
Leh,34.17,77.58,19.48,27,2,2.84,IN,1596346918
Uberaba,-19.75,-47.93,15.58,65,7,2.55,BR,1596346918
Kargopol',61.51,38.95,14.14,65,16,2.73,RU,1596346919
Balkanabat,39.51,54.37,34.95,14,0,6.71,TM,1596346919
